idx,location_id,county_fips,lat,lon,feasible,failure_mode,risk_score,risk_tier,dominant,slope_deg,canopy_max_m,building_count,elapsed_s
72,177900782,37023,35.7815,-81.465635,True,feasible,0.0,low,clear,4.5,20.0,2,2.6
73,40246635,37025,35.427205,-80.384032,True,feasible,0.0,low,clear,2.7,24.0,2,1.8
74,40152210,37025,35.272007,-80.542173,False,mixed,90.3,critical,vegetation,8.6,27.0,1,9.7
75,40106661,37025,35.29493,-80.432854,True,feasible,0.0,low,clear,1.7,18.0,29,1.8
76,39821996,37025,35.427305,-80.543152,False,mixed,12.9,low,vegetation,3.6,25.0,7,10.1
77,40625792,37025,35.279734,-80.670677,True,feasible,0.0,low,clear,1.4,21.0,13,2.6
78,39845791,37025,35.427865,-80.703311,False,roof_unusable,0.0,low,clear,0.9,20.0,6,1.9
79,42145056,37027,35.819533,-81.442649,True,feasible,0.0,low,clear,4.3,23.0,3,4.5
80,177856216,37027,35.93719,-81.667361,True,feasible,0.0,low,clear,7.4,25.0,1,14.1
81,42168339,37027,36.060695,-81.442673,False,mixed,72.9,critical,vegetation,15.6,22.0,5,8.8
82,42216837,37027,35.851502,-81.646938,True,feasible,0.0,low,clear,3.8,23.0,6,3.0
83,42177052,37027,36.061501,-81.648251,False,mixed,90.6,critical,vegetation,26.7,24.0,0,5.2
84,70411224,37027,35.940662,-81.443698,False,mixed,90.3,critical,vegetation,0.7,23.0,1,8.1
85,39645691,37029,36.38374,-76.253891,True,feasible,0.0,low,clear,0.9,22.0,3,2.1
86,39722265,37029,36.233834,-76.05167,True,feasible,0.0,low,clear,1.0,23.0,1,14.4
87,39721625,37029,36.34224,-76.064465,True,feasible,0.0,low,clear,0.0,23.0,2,3.0
88,188994021,37029,36.488896,-76.283131,True,feasible,0.0,low,clear,0.4,0.0,0,7.1
89,41891778,37031,34.833524,-76.883472,True,feasible,0.0,low,clear,1.9,21.0,0,1.8
90,195556397,37031,34.736872,-76.713334,True,feasible,0.0,low,clear,0.6,1.0,0,2.2
