geoid_bg,n_points,mean_risk,median_risk,n_feasible,pct_feasible,n_infeasible,pct_low,pct_moderate,pct_high,pct_critical,dominant_mode
371859501021,1,89.3,89.3,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371859501031,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371859501032,1,76.5,76.5,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371859502013,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371859503003,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371859504001,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371879501003,1,89.3,89.3,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371879501004,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371879502011,1,90.1,90.1,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371879502023,2,0.0,0.0,2,100.0,0,100.0,0.0,0.0,0.0,clear
371879503001,2,0.0,0.0,2,100.0,0,100.0,0.0,0.0,0.0,clear
371899201001,1,90.2,90.2,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371899202002,1,89.9,89.9,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371899206021,1,43.6,43.6,0,0.0,1,0.0,100.0,0.0,0.0,vegetation
371899207011,1,86.4,86.4,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371899207021,1,5.9,5.9,1,100.0,0,100.0,0.0,0.0,0.0,vegetation
371899209001,1,74.4,74.4,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371910001041,1,58.1,58.1,0,0.0,1,0.0,0.0,100.0,0.0,building
371910002002,1,40.8,40.8,0,0.0,1,0.0,100.0,0.0,0.0,vegetation
371910003023,1,83.9,83.9,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371910006042,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371910010001,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371910011031,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371939602002,1,52.8,52.8,0,0.0,1,0.0,0.0,100.0,0.0,vegetation
371939604012,1,89.8,89.8,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371939604013,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
371939609012,1,90.4,90.4,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371939609021,1,88.8,88.8,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371939610013,1,90.3,90.3,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371939612011,1,90.6,90.6,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371950006021,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371950006022,5,0.0,0.0,5,100.0,0,100.0,0.0,0.0,0.0,clear
371950009001,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
371950011001,1,73.9,73.9,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371950012001,3,30.7,0.0,2,66.7,1,66.7,0.0,0.0,33.3,clear
371950013023,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371950014012,2,0.0,0.0,2,100.0,0,100.0,0.0,0.0,0.0,clear
371950014021,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371950015012,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371950016002,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371970501011,1,90.2,90.2,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371970501012,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371970502003,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371970503005,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371970504013,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371970505032,1,76.6,76.6,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
371999601011,2,45.2,45.2,1,50.0,1,50.0,0.0,0.0,50.0,vegetation
371999601021,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
371999604001,2,61.4,61.4,0,0.0,2,0.0,50.0,0.0,50.0,vegetation
371999604002,1,90.8,90.8,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
